ITEM,FILENAME,COLLECTION,COLOR,FINISH,QUANTITY,EVENT TYPE
Avenue 6' Bar Gold/White,Bars - Avenue 6 Complete_Polished Gold_White.jpeg,Avenue,White,Gold,,"Corporate, Gala, Wedding, Concert, Social"
Avenue 6' Bar Chrome/White,Bars - Avenue 6 Complete_Polished Stainless_White.jpeg,Avenue,White,Chrome,,"Corporate, Gala, Wedding, Concert, Social"
Avenue Arc Bar Gold/White,Bars - Avenue Arc Complete Polished Gold_White.jpeg,Avenue,White,Gold,,"Corporate, Gala, Wedding, Concert, Social"
Avenue Arc Bar Chrome/Black,Bars - Avenue Arc Complete Polished Stainless_Black.jpeg,Avenue,Black,Chrome,,"Corporate, Gala, Wedding, Concert, Social"
Avenue Arc Bar - Chrome/White,Bars - Avenue Arc Complete Polished Stainless_White.jpeg,Avenue,White,Chrome,,"Corporate, Gala, Wedding, Concert, Social"
Portable 6' Black Bar,Bars - Black Portable Bar.jpeg,-,Black,Wood,,"Corporate, Gala, Festival, Wedding, Concert, Social, Outdoor"
Criterion Bar Gold/Black,Bars - Criterion_Bar_Polished Gold_Black.jpeg,Criterion,Black,Gold,,"Corporate, Gala, Wedding, Concert, Social"
Criterion Bar Gold/White,Bars - Criterion_Bar_Polished Stainless_White.jpeg,Criterion,White,Chrome,,"Corporate, Gala, Wedding, Concert, Social"
Curved Truss Bar,Bars - Curved Truss Bar.jpeg,-,,Aluminum,,"Corporate, Gala, Festival, Wedding, Concert, Social, Outdoor"
LED Bar,Bars - LED.jpeg,-,,,,"Corporate, Gala, Festival, Wedding, Concert, Social, Outdoor"
4' Mobile Bar,Bars - Mobile 4.jpeg,-,White,Chrome,,"Corporate, Gala, Festival, Wedding, Concert, Social, Outdoor"
Sample Configuration 1,Bars - Sample Configuration 1.png,-,-,-,,-
Sample Configuration 2,Bars - Sample Configuration 2.png,-,-,-,,-
Sample Configuration 3,Bars - Sample Configuration 3.png,-,-,-,,-
Room Divider White/Gold,Divider - Barclay Complete_Polished Gold_White.jpeg,Barclay,,,,"Corporate, Gala, Wedding, Concert, Social"
Room Divider White/Chrome,Divider - Barclay Complete_Polished Stainless_White.jpeg,Barclay,,,,"Corporate, Gala, Wedding, Concert, Social"
Divider Combo,Divider - Combo.jpeg,-,-,-,,"Corporate, Gala, Festival, Wedding, Concert, Social, Outdoor"
Hedge Wall,Divider - Hedge Wall.png,-,Green,Black,,"Corporate, Gala, Festival, Wedding, Concert, Social, Outdoor"
Essex Shelves,Shelves - Essex Complete _Polished Stainless_Black.jpeg,Essex,,,,"Corporate, Gala, Wedding, Concert, Social"
Glamour Shelves Gold/,Shelves - Glamour_Polished Gold.jpeg,Glamour,,Gold,,"Corporate, Gala, Wedding, Concert, Social"
Glamour Shelves Chrome,Shelves - Glamour_Polished Stainless.jpeg,Glamour,,Chrome,,"Corporate, Gala, Wedding, Concert, Social"
Grand Shelves Gold/Black,Shelves - Grand Complete_Polished Gold_Black.jpeg,Grand,,,,"Corporate, Gala, Wedding, Concert, Social"
Grand Shelves Gold/White,Shelves - Grand Complete_Polished Gold_White.jpeg,Grand,,,,"Corporate, Gala, Wedding, Concert, Social"
Grand Shelves Chrome/White,Shelves - Grand Complete_Polished Stainless_White.jpeg,Grand,,,,"Corporate, Gala, Wedding, Concert, Social"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,"Corporate, Gala, Festival, Wedding, Concert, Social, Outdoor"
